dr_no;date_rptd;date_occ;time_occ;area;area_name;rpt_dist_no;part_1_2;crm_cd;crm_cd_desc;mocodes;vict_age;vict_sex;vict_descent;premis_cd;premis_desc;weapon_used_cd;weapon_desc;status;status_desc;crm_cd_1;crm_cd_2;crm_cd_3;crm_cd_4;location;cross_street;lat;lon
200607615;03/09/2020 12:00:00 AM;03/08/2020 12:00:00 AM;2330;6;Hollywood;646;1;761;BRANDISH WEAPON;0216 0400 0334 0432 0312;20;F;W;210;RESTAURANT/FAST FOOD;212;BOTTLE;IC;Invest Cont;761;;;;6400    SELMA                        AV;;34.0998;-118.3295
200913628;08/17/2020 12:00:00 AM;08/17/2020 12:00:00 AM;530;9;Van Nuys;994;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;4000    SUNNYSLOPE                   AV;;34.1422;-118.4264
200517932;12/17/2020 12:00:00 AM;12/17/2020 12:00:00 AM;2215;5;Harbor;514;2;624;BATTERY - SIMPLE ASSAULT;0913 0416 0561 0446 0602;51;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;900 N  WILMINGTON                   BL;;33.7897;-118.2787
201109830;05/27/2020 12:00:00 AM;05/27/2020 12:00:00 AM;1200;11;Northeast;1144;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;2400    IVANHOE                      DR;;34.1017;-118.2609
200911607;06/26/2020 12:00:00 AM;06/25/2020 12:00:00 AM;700;9;Van Nuys;931;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;108;PARKING LOT;;;IC;Invest Cont;420;;;;ERWIN;SEPULVEDA;34.183;-118.4662
200309308;04/01/2020 12:00:00 AM;03/31/2020 12:00:00 AM;2300;3;Southwest;395;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;0342 0421 0319 0360 1822;57;M;H;501;SINGLE FAMILY DWELLING;511;VERBAL THREAT;IC;Invest Cont;930;;;;1700 W  41ST                         ST;;34.0099;-118.3089
200405954;02/20/2020 12:00:00 AM;02/20/2020 12:00:00 AM;45;4;Hollenbeck;499;1;648;ARSON;1822;0;X;X;203;OTHER BUSINESS;;;IC;Invest Cont;648;;;;3600 E  OLYMPIC                      BL;;34.0188;-118.201
200607046;02/27/2020 12:00:00 AM;02/25/2020 12:00:00 AM;2030;6;Hollywood;615;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);1300 1822 0344;37;F;H;101;STREET;;;IC;Invest Cont;331;;;;3000    HOLLYCREST                   DR;;34.1261;-118.3442
200309279;03/31/2020 12:00:00 AM;03/31/2020 12:00:00 AM;1130;3;Southwest;395;2;946;OTHER MISCELLANEOUS CRIME;1419 1407 2004;0;X;X;101;STREET;;;IC;Invest Cont;946;998;;;WESTERN                      AV;43RD;34.0046;-118.3089
200413122;09/25/2020 12:00:00 AM;09/22/2020 12:00:00 AM;12;4;Hollenbeck;459;1;210;ROBBERY;1822 0334 0344 0400;40;M;H;101;STREET;200;KNIFE WITH BLADE 6INCHES OR LESS;IC;Invest Cont;210;;;;EAST SIDE;EVERGREEN;34.0436;-118.2003
200116373;08/13/2020 12:00:00 AM;08/13/2020 12:00:00 AM;2000;1;Central;134;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);1822 1300 0329;27;M;W;122;VEHICLE, PASSENGER/TRUCK;;;IC;Invest Cont;740;;;;4TH;BROADWAY;34.0495;-118.2494
200809522;05/15/2020 12:00:00 AM;05/15/2020 12:00:00 AM;1820;8;West LA;889;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 1813 0416;52;F;O;710;OTHER PREMISE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;626;;;;1800 S  HOLT                         AV;;34.0434;-118.3808
200511467;07/06/2020 12:00:00 AM;07/03/2020 12:00:00 AM;1200;5;Harbor;563;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;13TH                         ST;GAFFEY;33.7324;-118.2924
200707911;03/31/2020 12:00:00 AM;03/31/2020 12:00:00 AM;1020;7;Wilshire;724;2;624;BATTERY - SIMPLE ASSAULT;0416 0429 2004 1218;57;M;W;109;PARK/PLAYGROUND;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;624;;;;7600    BEVERLY                      BL;;34.0761;-118.3555
201113484;08/17/2020 12:00:00 AM;06/05/2020 12:00:00 AM;2100;11;Northeast;1144;2;946;OTHER MISCELLANEOUS CRIME;2000 1813 1821 0913;75;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;946;999;;;2900    ANGUS                        ST;;34.1071;-118.269
200918831;12/25/2020 12:00:00 AM;12/24/2020 12:00:00 AM;839;9;Van Nuys;901;2;901;VIOLATION OF RESTRAINING ORDER;2038;36;F;H;501;SINGLE FAMILY DWELLING;;;AO;Adult Other;901;;;;15500    SATICOY                      ST;;34.2083;-118.4706
201112911;08/26/2020 12:00:00 AM;07/25/2020 12:00:00 AM;1200;11;Northeast;1189;1;330;BURGLARY FROM VEHICLE;0344 0358 0352;33;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;330;;;;3500    MARMION                      WY;;34.0871;-118.2141
201111348;07/13/2020 12:00:00 AM;07/10/2020 12:00:00 AM;1930;11;Northeast;1159;2;624;BATTERY - SIMPLE ASSAULT;0416 1822;49;F;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;4500 N  FIGUEROA                     ST;;34.1009;-118.2036
201011838;08/08/2020 12:00:00 AM;08/07/2020 12:00:00 AM;2100;10;West Valley;1004;2;624;BATTERY - SIMPLE ASSAULT;0913 0554 0416 1414 0601;46;M;H;501;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;624;;;;18200    SATICOY                      ST;;34.2146;-118.5317
200105154;01/17/2020 12:00:00 AM;01/17/2020 12:00:00 AM;1145;1;Central;154;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2004 1814 1813 0444;46;F;O;503;HOTEL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626;;;;500 S  LOS ANGELES                  ST;;34.046;-118.2493
200120975;11/13/2020 12:00:00 AM;11/12/2020 12:00:00 AM;2330;1;Central;139;1;330;BURGLARY FROM VEHICLE;0329 1307 1609 0344 1822;23;F;O;101;STREET;;;IC;Invest Cont;330;;;;100 S  VIGNES                       ST;;34.048;-118.2339
200205918;02/07/2020 12:00:00 AM;02/07/2020 12:00:00 AM;1700;2;Rampart;237;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;0913 0602 0421 0416 1801 0319;25;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;230;;;;200    WITMER                       ST;;34.0603;-118.2619
200304615;01/11/2020 12:00:00 AM;01/11/2020 12:00:00 AM;1730;3;Southwest;303;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1300 1822 2004;43;M;H;122;VEHICLE, PASSENGER/TRUCK;306;ROCK/THROWN OBJECT;IC;Invest Cont;740;;;;2500 S  ORANGE                       DR;;34.0336;-118.3526
